"tgav","year","model"
17.661100197856,2089,"CanESM5"
17.6546365356733,2090,"CanESM5"
17.7420762900035,2091,"CanESM5"
17.7659225526116,2092,"CanESM5"
17.5730715392661,2093,"CanESM5"
17.799248436459,2094,"CanESM5"
17.9892776345968,2095,"CanESM5"
17.7459924538487,2096,"CanESM5"
17.7592050760284,2097,"CanESM5"
17.855713625421,2098,"CanESM5"
17.8666542126006,2099,"CanESM5"
17.8983323308554,2100,"CanESM5"
15.3659825559836,2015,"CESM2"
15.1255880210405,2016,"CESM2"
15.060090785235,2017,"CESM2"
15.0730695340917,2018,"CESM2"
15.2220796913576,2019,"CESM2"
15.4052725013211,2020,"CESM2"
15.5039393775641,2021,"CESM2"
15.1575910728126,2022,"CESM2"
15.3377544885162,2023,"CESM2"
15.4926781527984,2024,"CESM2"
15.5163078751372,2025,"CESM2"
15.6240681533329,2026,"CESM2"
15.6920275261599,2027,"CESM2"
15.7212938020039,2028,"CESM2"
15.5678838916661,2029,"CESM2"
15.6658480404543,2030,"CESM2"
15.7077875478499,2031,"CESM2"
15.6521731498062,2032,"CESM2"
15.7362686946516,2033,"CESM2"
15.8048957066399,2034,"CESM2"
15.8868936855904,2035,"CESM2"
15.9193942346543,2036,"CESM2"
15.8999847567322,2037,"CESM2"
16.0285542157056,2038,"CESM2"
15.8345867809572,2039,"CESM2"
16.0772813014702,2040,"CESM2"
16.1654004201094,2041,"CESM2"
16.1081599473455,2042,"CESM2"
16.1408866487414,2043,"CESM2"
16.1598379282071,2044,"CESM2"
15.97052324504,2045,"CESM2"
15.9685744365651,2046,"CESM2"
16.1702805659539,2047,"CESM2"
16.0618537973361,2048,"CESM2"
16.1798375367638,2049,"CESM2"
16.327958267069,2050,"CESM2"
16.3419948309711,2051,"CESM2"
16.4734404677996,2052,"CESM2"
16.4417677900386,2053,"CESM2"
16.5033727005486,2054,"CESM2"
16.3726088241366,2055,"CESM2"
16.4989208081872,2056,"CESM2"
16.5757399032141,2057,"CESM2"
16.5217055761135,2058,"CESM2"
16.4919495763484,2059,"CESM2"
16.6908251462542,2060,"CESM2"
16.6356502292508,2061,"CESM2"
16.695729020264,2062,"CESM2"
16.5832972466242,2063,"CESM2"
16.7141937151145,2064,"CESM2"
16.633826044006,2065,"CESM2"
16.6463755103664,2066,"CESM2"
16.7861468954688,2067,"CESM2"
16.724928809671,2068,"CESM2"
16.7216290646011,2069,"CESM2"
16.6411406424487,2070,"CESM2"
16.7836479795184,2071,"CESM2"
16.9441167642193,2072,"CESM2"
16.9878059010295,2073,"CESM2"
16.9857300607809,2074,"CESM2"
16.8568460993674,2075,"CESM2"
17.0001234623653,2076,"CESM2"
17.0803122448906,2077,"CESM2"
16.9623090994378,2078,"CESM2"
16.7746796608601,2079,"CESM2"
16.9427281075628,2080,"CESM2"
17.022996634868,2081,"CESM2"
17.0109015614976,2082,"CESM2"
17.0428247320044,2083,"CESM2"
17.0134416944064,2084,"CESM2"
16.9450873921407,2085,"CESM2"
17.1910186475333,2086,"CESM2"
17.2385971564961,2087,"CESM2"
17.122497937042,2088,"CESM2"
17.0274284675747,2089,"CESM2"
17.2367629507619,2090,"CESM2"
17.302409521125,2091,"CESM2"
17.2461527618362,2092,"CESM2"
17.196314980539,2093,"CESM2"
17.3488718437688,2094,"CESM2"
